"Town","FIPS","Year","Grade","MeasureType","Variable","Value"
"Wallingford","0900978740",2009,"1","Percent","Students absent 20 or more days",5.5
"Washington","0900579720",2009,"1","Percent","Students absent 20 or more days",7.1
"Waterbury","0900980070",2009,"1","Percent","Students absent 20 or more days",5
"Waterford","0901180280",2009,"1","Percent","Students absent 20 or more days",3.5
"Watertown","0900580490",2009,"1","Percent","Students absent 20 or more days",2.2
"West Hartford","0900382590",2009,"1","Percent","Students absent 20 or more days",3
"West Haven","0900982870",2009,"1","Percent","Students absent 20 or more days",9.7
"Westbrook","0900781680",2009,"1","Percent","Students absent 20 or more days",5.4
"Weston","0900183430",2009,"1","Percent","Students absent 20 or more days",6.9
"Westport","0900183500",2009,"1","Percent","Students absent 20 or more days",2.9
"Wethersfield","0900384900",2009,"1","Percent","Students absent 20 or more days",1.1
"Willington","0901385950",2009,"1","Percent","Students absent 20 or more days",5.7
"Wilton","0900186370",2009,"1","Percent","Students absent 20 or more days",3.1
"Winchester","0900586440",2009,"1","Percent","Students absent 20 or more days",6.3
"Windham","0901586790",2009,"1","Percent","Students absent 20 or more days",11.8
"Windsor","0900387000",2009,"1","Percent","Students absent 20 or more days",2.7
"Windsor Locks","0900387070",2009,"1","Percent","Students absent 20 or more days",0.8
"Wolcott","0900987560",2009,"1","Percent","Students absent 20 or more days",1.5
"Woodbridge","0900987700",2009,"1","Percent","Students absent 20 or more days",4.4
"Woodbury","0900587910",2009,"1","Percent","Students absent 20 or more days",3.5
"Woodstock","0901588190",2009,"1","Percent","Students absent 20 or more days",1
"Andover","0901301080",2010,"1","Percent","Students absent 20 or more days",6.98
"Ansonia","0900901220",2010,"1","Percent","Students absent 20 or more days",14.81
"Ashford","0901501430",2010,"1","Percent","Students absent 20 or more days",10.71
"Avon","0900302060",2010,"1","Percent","Students absent 20 or more days",6.61
"Barkhamsted","0900502760",2010,"1","Percent","Students absent 20 or more days",3.23
"Beacon Falls","0900903250",2010,"1","Percent","Students absent 20 or more days",1.75
"Berlin","0900304300",2010,"1","Percent","Students absent 20 or more days",3.69
"Bethany","0900904580",2010,"1","Percent","Students absent 20 or more days",2.9
"Bethel","0900104720",2010,"1","Percent","Students absent 20 or more days",4.39
"Bethlehem","0900504930",2010,"1","Percent","Students absent 20 or more days",13.11
"Bloomfield","0900305910",2010,"1","Percent","Students absent 20 or more days",7.09
"Bolton","0901306260",2010,"1","Percent","Students absent 20 or more days",7.27
"Bozrah","0901106820",2010,"1","Percent","Students absent 20 or more days",15
"Branford","0900907310",2010,"1","Percent","Students absent 20 or more days",6.49
"Bridgeport","0900108070",2010,"1","Percent","Students absent 20 or more days",14.87
"Bridgewater","0900508210",2010,"1","Percent","Students absent 20 or more days",1.59
"Bristol","0900308490",2010,"1","Percent","Students absent 20 or more days",7.94
"Brookfield","0900108980",2010,"1","Percent","Students absent 20 or more days",1.53
"Brooklyn","0901509190",2010,"1","Percent","Students absent 20 or more days",6.74
"Burlington","0900310100",2010,"1","Percent","Students absent 20 or more days",3.26
"Canaan","0900510940",2010,"1","Percent","Students absent 20 or more days",33.33
"Canterbury","0901512130",2010,"1","Percent","Students absent 20 or more days",9.86
"Canton","0900312270",2010,"1","Percent","Students absent 20 or more days",6.21
"Chaplin","0901513810",2010,"1","Percent","Students absent 20 or more days",5.56
"Cheshire","0900914160",2010,"1","Percent","Students absent 20 or more days",3.81
"Chester","0900714300",2010,"1","Percent","Students absent 20 or more days",2.7
"Clinton","0900715350",2010,"1","Percent","Students absent 20 or more days",18.18
"Colchester","0901115910",2010,"1","Percent","Students absent 20 or more days",2.83
"Colebrook","0900516050",2010,"1","Percent","Students absent 20 or more days",0
"Columbia","0901316400",2010,"1","Percent","Students absent 20 or more days",7.27
"Cornwall","0900517240",2010,"1","Percent","Students absent 20 or more days",0
"Coventry","0901317800",2010,"1","Percent","Students absent 20 or more days",7.14
"Cromwell","0900718080",2010,"1","Percent","Students absent 20 or more days",5.16
"Danbury","0900118500",2010,"1","Percent","Students absent 20 or more days",5.59
"Darien","0900118850",2010,"1","Percent","Students absent 20 or more days",3.37
"Deep River","0900719130",2010,"1","Percent","Students absent 20 or more days",2.5
"Derby","0900919550",2010,"1","Percent","Students absent 20 or more days",10.4
"Durham","0900720810",2010,"1","Percent","Students absent 20 or more days",1.8
"East Granby","0900322070",2010,"1","Percent","Students absent 20 or more days",5.63
"East Haddam","0900722280",2010,"1","Percent","Students absent 20 or more days",4.72
"East Hampton","0900722490",2010,"1","Percent","Students absent 20 or more days",7.09
"East Hartford","0900322630",2010,"1","Percent","Students absent 20 or more days",13.88
"East Haven","0900922910",2010,"1","Percent","Students absent 20 or more days",9.34
"East Lyme","0901123400",2010,"1","Percent","Students absent 20 or more days",3.06
"East Windsor","0900324800",2010,"1","Percent","Students absent 20 or more days",9.09
"Eastford","0901521860",2010,"1","Percent","Students absent 20 or more days",13.33
"Easton","0900123890",2010,"1","Percent","Students absent 20 or more days",3.88
"Ellington","0901325360",2010,"1","Percent","Students absent 20 or more days",3.98
"Enfield","0900325990",2010,"1","Percent","Students absent 20 or more days",5.83
"Essex","0900726270",2010,"1","Percent","Students absent 20 or more days",3.9
